idMunicipio;numero;Departamento;Municipio;NUESTRO TIEMPO;FMLN;NUEVAS IDEAS;PDC;VAMOS;PCN;GANA;CD;ARENA;dpto_desc;muni_desc
49;15;chalatenango;san-jose-las-flores;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;San José Las Flores
50;29;chalatenango;san-luis-del-carmen;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Chalatenango;San Luis del Carmen
51;30;chalatenango;san-miguel-de-mercedes;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;San Miguel de Mercedes
52;31;chalatenango;san-rafael;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Chalatenango;San Rafael
53;32;chalatenango;santa-rita;;FMLN;;PDC;VAMOS;;;CD;ARENA;Chalatenango;Santa Rita
54;33;chalatenango;tejutla;;FMLN;;PDC;VAMOS;;GANA;;;Chalatenango;Tejutla
55;2;cuscatlan;candelaria;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;Candelaria
56;1;cuscatlan;cojutepeque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;Cojutepeque
57;3;cuscatlan;el-carmen;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;El Carmen
58;4;cuscatlan;el-rosario;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;El Rosario
59;5;cuscatlan;monte-san-juan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;Monte San Juan
60;6;cuscatlan;oratorio-de-concepcion;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;Oratorio de Concepción
61;7;cuscatlan;san-bartolome-perulapia;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Cuscatlán;San Bartolomé Perulapía
62;8;cuscatlan;san-cristobal;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Cuscatlán;San Cristóbal
63;9;cuscatlan;san-jose-guayabal;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;San José Guayabal
64;10;cuscatlan;san-pedro-perulapan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;San Pedro Perulapán
