idMunicipio;numero;Departamento;Municipio;NUESTRO TIEMPO;FMLN;NUEVAS IDEAS;PDC;VAMOS;PCN;GANA;CD;ARENA;dpto_desc;muni_desc
212;3;santa-ana;chalchuapa;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;Chalchuapa
213;4;santa-ana;coatepeque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;Coatepeque
214;5;santa-ana;el-congo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;El Congo
215;6;santa-ana;el-porvenir;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;El Porvenir
216;7;santa-ana;masahuat;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;Masahuat
217;8;santa-ana;metapan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;Metapán
218;9;santa-ana;san-antonio-pajonal;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;Santa Ana;San Antonio Pajonal
219;10;santa-ana;san-sebastian-salitrillo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;San Sebastián Salitrillo
220;1;santa-ana;santa-ana;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;Santa Ana
221;11;santa-ana;santa-rosa-guachipilin;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;Santa Rosa Guachipilín
222;12;santa-ana;santiago-de-la-frontera;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;Santiago de la Frontera
223;13;santa-ana;texistepeque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Santa Ana;Texistepeque
224;2;sonsonate;acajutla;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Sonsonate;Acajutla
225;3;sonsonate;armenia;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;Armenia
226;4;sonsonate;caluco;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Sonsonate;Caluco
227;5;sonsonate;cuisnahuat;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Sonsonate;Cuisnahuat
228;6;sonsonate;izalco;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;Izalco
229;7;sonsonate;juayua;NUESTRO TIEMPO;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;Juayúa
230;9;sonsonate;nahuilingo;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Sonsonate;Nahuizalco
231;8;sonsonate;nahuizalco;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;Nahulingo
232;10;sonsonate;salcoatitan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;Salcoatitán
233;11;sonsonate;san-antonio-del-monte;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;San Antonio del Monte
234;12;sonsonate;san-julian;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;San Julián
235;13;sonsonate;santa-catarina-masahuat;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;Santa Catarina Masahuat
236;14;sonsonate;santa-isabel-ishuatan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;Santa Isabel Ishuatán
237;15;sonsonate;santo-domingo-de-guzman;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;Santo Domingo Guzmán
238;1;sonsonate;sonsonate;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;Sonsonate
239;16;sonsonate;sonzacate;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Sonsonate;Sonzacate
240;2;usulutan;alegria;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Alegría
241;3;usulutan;berlin;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Berlín
242;4;usulutan;california;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;California
243;5;usulutan;concepcion-batres;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Concepción Batres
244;6;usulutan;el-triunfo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;El Triunfo
245;7;usulutan;ereguayquin;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Ereguayquín
246;8;usulutan;estanzuelas;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Estanzuelas
247;9;usulutan;jiquilisco;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Jiquilisco
248;10;usulutan;jucuapa;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Jucuapa
249;11;usulutan;jucuaran;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Jucuarán
250;12;usulutan;mercedes-umana;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Mercedes Umaña
251;13;usulutan;nueva-granada;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Nueva Granada
252;14;usulutan;ozatlan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Ozatlán
253;15;usulutan;puerto-el-triunfo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Puerto El Triunfo
254;16;usulutan;san-agustin;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;San Agustín
255;17;usulutan;san-buenaventura;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;San Buenaventura
256;18;usulutan;san-dionisio;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;San Dionisio
257;19;usulutan;san-francisco-javier;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;San Francisco Javier
258;20;usulutan;santa-elena;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Santa Elena
259;21;usulutan;santa-maria;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Santa María
260;22;usulutan;santiago-de-maria;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Santiago de María
261;23;usulutan;tecapan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Tecapán
262;1;usulutan;usulutan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Usulután;Usulután
