;#;Departamento;Municipio;COALICION 1;COALICION 2;PARTIDO 1;PARTIDO 2;PARTIDO 3;PARTIDO 4;PARTIDO 5;PARTIDO 6;PARTIDO 7;PARTIDO 8;PARTIDO 9
58;4;cuscatlan;el-rosario;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
59;5;cuscatlan;monte-san-juan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
60;6;cuscatlan;oratorio-de-concepcion;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
61;7;cuscatlan;san-bartolome-perulapia;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
62;8;cuscatlan;san-cristobal;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
63;9;cuscatlan;san-jose-guayabal;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
64;10;cuscatlan;san-pedro-perulapan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
65;11;cuscatlan;san-rafael-cedros;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
66;12;cuscatlan;san-ramon;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
67;13;cuscatlan;santa-cruz-analquito;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
68;14;cuscatlan;santa-cruz-michapa;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
69;15;cuscatlan;suchitoto;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
70;16;cuscatlan;tenancingo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
71;1;la-libertad;santa-tecla;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
72;2;la-libertad;antiguo-cuscatlan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
73;3;la-libertad;chiltiupan;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
74;4;la-libertad;ciudad-arce;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
75;5;la-libertad;colon;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
76;6;la-libertad;comasagua;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
77;7;la-libertad;huizucar;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
78;8;la-libertad;jayaque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
79;9;la-libertad;jicalapa;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
80;10;la-libertad;la-libertad;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
81;11;la-libertad;nuevo-cuscatlan;N-CD-GANA;;;FMLN;;PDC;VAMOS;PCN;;;ARENA
82;12;la-libertad;quezaltepeque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
83;13;la-libertad;san-juan-opico;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
84;14;la-libertad;sacacoyo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
85;15;la-libertad;san-jose-villanueva;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
86;16;la-libertad;san-matias;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
87;17;la-libertad;san-pablo-tacachico;N-GANA;;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
88;18;la-libertad;talnique;N-GANA;;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
89;19;la-libertad;tamanique;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
90;20;la-libertad;teotepeque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
91;21;la-libertad;tepecoyo;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
92;22;la-libertad;zaragoza;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
93;1;la-paz;zacatecoluca;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
94;2;la-paz;cuyultitan;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
95;3;la-paz;el-rosario;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
96;4;la-paz;jerusalen;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
97;5;la-paz;mercedes-la-ceiba;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
98;6;la-paz;olocuilta;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
99;7;la-paz;paraiso-de-osorio;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
100;8;la-paz;san-antonio-masahuat;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
101;9;la-paz;san-emigdio;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
102;10;la-paz;san-francisco-chinameca;N-PCN-GANA;;;FMLN;;PDC;VAMOS;;;CD;ARENA
103;11;la-paz;san-pedro-masahuat;N-GANA;;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
104;12;la-paz;san-juan-nonualco;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
105;13;la-paz;san-juan-talpa;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
106;14;la-paz;san-juan-tepezontes;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
107;15;la-paz;san-luis-la-herradura;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
108;16;la-paz;san-luis-talpa;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
109;17;la-paz;san-miguel-tepezontes;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
110;18;la-paz;san-pedro-nonualco;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
111;19;la-paz;san-rafael-obrajuelo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
112;20;la-paz;santa-maria-ostuma;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
113;21;la-paz;santiago-nonualco;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
114;22;la-paz;tapalhuaca;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
115;1;la-union;la-union;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
116;2;la-union;anamoros;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
117;3;la-union;bolivar;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
118;4;la-union;concepcion-de-oriente;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
119;5;la-union;conchagua;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
120;6;la-union;el-carmen;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
121;7;la-union;el-sauce;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
122;8;la-union;intipuca;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
123;9;la-union;lislique;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
124;10;la-union;meanguera-del-golfo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
125;11;la-union;nueva-esparta;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
126;12;la-union;pasaquina;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
127;13;la-union;poloros;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
128;14;la-union;san-alejo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
129;15;la-union;san-jose-la-fuente;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
130;16;la-union;santa-rosa-de-lima;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
131;17;la-union;yayantique;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
132;18;la-union;yucuaiquin;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
133;1;morazan;san-francisco-gotera;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
134;2;morazan;arambala;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
135;3;morazan;cacaopera;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
136;4;morazan;chilanga;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
137;5;morazan;corinto;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
138;6;morazan;delicias-de-concepcion;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
139;7;morazan;el-divisadero;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
140;8;morazan;el-rosario;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
141;9;morazan;gualococti;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
142;10;morazan;guatajiagua;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
143;11;morazan;joateca;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
144;12;morazan;jocoaitique;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
145;13;morazan;jocoro;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
146;14;morazan;lolotiquillo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
147;15;morazan;meanguera;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
148;16;morazan;osicala;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
149;17;morazan;perquin;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
150;18;morazan;san-carlos;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
151;19;morazan;san-fernando;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
152;20;morazan;san-isidro;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
153;21;morazan;san-simon;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
154;22;morazan;sensembra;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
155;23;morazan;sociedad;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
156;24;morazan;torola;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
157;25;morazan;yamabal;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
158;26;morazan;yoloaiquin;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
159;1;san-miguel;san-miguel;N-GANA;;NUESTRO TIEMPO;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
160;2;san-miguel;carolina;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
161;3;san-miguel;chapeltique;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
162;4;san-miguel;chinameca;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
163;5;san-miguel;chirilagua;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
164;6;san-miguel;ciudad-barrios;PDC-CD;;;FMLN;N;;VAMOS;PCN;GANA;;ARENA
165;7;san-miguel;comacaran;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
166;8;san-miguel;el-transito;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
167;9;san-miguel;lolotique;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
168;10;san-miguel;moncagua;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
169;11;san-miguel;nueva-guadalupe;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
170;12;san-miguel;nuevo-eden-de-san-juan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
171;13;san-miguel;quelepa;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
172;14;san-miguel;san-antonio;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
173;15;san-miguel;san-gerardo;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
174;16;san-miguel;san-jorge;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
175;17;san-miguel;san-luis-de-la-reina;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
176;18;san-miguel;san-rafael-oriente;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
177;19;san-miguel;sesori;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
178;20;san-miguel;uluazapa;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
179;1;san-salvador;san-salvador;N-GANA;;NUESTRO TIEMPO;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
180;2;san-salvador;aguilares;;;NUESTRO TIEMPO;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
181;3;san-salvador;apopa;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
182;4;san-salvador;ayutuxtepeque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
183;5;san-salvador;cuscatancingo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
184;6;san-salvador;ciudad-delgado;;;NUESTRO TIEMPO;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
185;7;san-salvador;el-paisnal;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
186;8;san-salvador;guazapa;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
187;9;san-salvador;ilopango;;;NUESTRO TIEMPO;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
188;10;san-salvador;mejicanos;N-CD;;NUESTRO TIEMPO;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
189;11;san-salvador;nejapa;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
190;12;san-salvador;panchimalco;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
191;13;san-salvador;rosario-de-mora;ARENA-DS;;;FMLN;N;PDC;VAMOS;PCN;GANA;;
192;14;san-salvador;san-marcos;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
